CaseDate,TotalApproved
2023-01-06,4
2023-01-08,2
2023-01-10,4
2023-01-11,39
2023-01-12,1
2023-01-13,2
2023-01-15,6
2023-01-19,4
2023-01-20,3
2023-01-21,1
2023-01-22,1
2023-01-25,2
2023-01-26,1
2023-01-27,4
2023-01-28,2
2023-02-04,1
2023-02-10,1
2023-02-16,4
2023-02-20,6
2023-03-01,1
2023-03-03,2
2023-03-14,2
2023-03-17,4
2023-03-20,6
2023-03-26,1
2023-04-06,2
2023-04-15,2
2023-04-28,1
2023-05-05,3
2023-05-30,1
2023-06-15,2
2023-06-30,1
2023-07-08,2
2023-07-18,1
2023-07-30,1
2023-08-16,1
2023-08-23,1
2023-09-27,1
2023-09-28,1
2023-10-09,1
